step,loss
0,1.002281665802002
1,1.00505530834198
2,1.0057859420776367
3,1.002976894378662
4,1.0042989253997803
5,1.0019463300704956
6,1.0105900764465332
7,1.0005282163619995
8,1.0072567462921143
9,1.0004069805145264
10,1.005885124206543
11,1.0001945495605469
12,0.9964932203292847
13,0.9985933303833008
14,1.0040178298950195
15,0.9999433755874634
16,0.9925423860549927
17,1.0012705326080322
18,0.9957989454269409
19,1.0078433752059937
20,0.994454562664032
21,0.996050238609314
22,1.0015068054199219
23,0.9977607727050781
24,0.9968724250793457
25,0.993452250957489
26,0.9996792674064636
27,0.9976835250854492
28,1.0002537965774536
29,0.9973012804985046
30,0.9962151050567627
31,0.9921683073043823
32,0.9990652799606323
33,1.0032570362091064
34,0.9900185465812683
35,0.9856065511703491
36,0.9951752424240112
37,0.983860433101654
38,0.9861191511154175
39,0.9816716909408569
40,0.9781292676925659
41,0.991442084312439
42,0.9998664259910583
43,0.9913582801818848
44,0.9762009382247925
45,0.9899203181266785
46,0.962306022644043
47,0.9974696636199951
48,0.9645745158195496
49,0.9716143608093262
50,0.9678999781608582
51,0.9561511874198914
52,0.9471815824508667
53,0.9719629287719727
54,0.948293924331665
55,0.960868775844574
56,0.9260544180870056
57,0.9177179336547852
58,0.911909282207489
59,0.9030582904815674
60,0.891501784324646
61,0.9757367968559265
62,0.8974056243896484
63,0.8778533935546875
64,0.8645299673080444
65,0.8510510921478271
66,0.8303697109222412
67,0.9045200347900391
68,0.8233439922332764
69,0.8390681743621826
70,0.8351244926452637
71,0.7924844622612
72,0.8651362657546997
73,0.811967134475708
74,0.7717225551605225
75,0.7706418037414551
76,0.8034647703170776
77,0.7645430564880371
78,0.7732440233230591
79,0.7466959953308105
80,0.7537828683853149
81,0.7521553039550781
82,0.7269225120544434
83,0.9814102649688721
84,0.727172315120697
85,0.7516230344772339
86,0.7081059813499451
87,0.7061492204666138
88,0.7337573766708374
89,0.689672589302063
90,0.7732316851615906
91,0.6868834495544434
92,0.6937431693077087
93,0.7279843091964722
94,0.669950008392334
95,0.67454993724823
96,0.9320098757743835
97,0.6471513509750366
98,0.8327234983444214
99,0.6464622020721436
100,0.6453108787536621
101,0.6371572017669678
102,0.7925828695297241
103,0.7644920349121094
104,0.6316354274749756
105,0.6222018599510193
106,0.6212592124938965
107,0.7649948000907898
108,0.6152282953262329
109,0.6082892417907715
110,0.6058424711227417
111,0.5924184322357178
112,0.7026286125183105
113,0.5891299247741699
114,0.6218481659889221
115,0.6193310022354126
116,0.5814815759658813
117,0.5737143158912659
118,0.5683701038360596
119,0.7062321901321411
120,0.5764532089233398
121,0.5532645583152771
122,0.5528483390808105
123,0.5481542348861694
124,0.5387520790100098
125,0.5415228009223938
126,0.5281403660774231
127,0.6391245126724243
128,0.6439697742462158
129,0.5192301273345947
130,0.5127989053726196
131,0.7164260745048523
132,0.5088682174682617
133,0.6582207083702087
134,0.9421407580375671
135,0.908561110496521
136,0.5911905169487
137,0.4937393069267273
138,0.49242424964904785
139,0.9316449165344238
140,0.4823828339576721
141,0.6152479648590088
142,0.4827159345149994
143,0.47530829906463623
144,0.47047051787376404
145,0.7157997488975525
146,0.46363183856010437
147,0.461978554725647
148,0.6309372186660767
149,0.45572274923324585
150,0.45396798849105835
151,0.44652432203292847
152,0.44139593839645386
153,0.4397367835044861
154,0.44644635915756226
155,0.43622955679893494
156,0.42417892813682556
157,0.4696371257305145
158,0.4116057753562927
159,0.416300505399704
160,0.4355199933052063
161,0.3999287486076355
162,0.40119242668151855
163,0.5562816858291626
164,0.4426597058773041
165,0.4324791431427002
166,0.3916805684566498
167,0.8350805044174194
168,0.9394187927246094
169,0.3877757787704468
170,0.3739582896232605
171,0.3687294125556946
172,0.45722946524620056
173,0.807862401008606
174,0.3705151081085205
